Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))
 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 03:12:36 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-03,03:12:36,b01,82,82,*,0,0.33916,0,50,2000,100,0,1,1,50,1,1,2,0,82
,2019-12-03,03:12:36,b02,83,83,*,0,0.167382,0,50,2000,100,0,1,1,50,1,1,2,0,90
,2019-12-03,03:12:36,b03,138,138,*,1,0.244604,0,50,2000,100,0,1,1,50,1,1,2,0,140
,2019-12-03,03:12:37,b04,59,59,*,0,0.414032,0,50,2000,100,0,1,1,50,1,1,2,0,59
,2019-12-03,03:12:37,b05,61,61,*,1,0.926716,0,50,2000,100,0,1,1,50,1,1,2,0,64
,2019-12-03,03:12:38,b06,122,122,*,1,0.710754,0,50,2000,100,0,1,1,50,1,1,2,0,127
,2019-12-03,03:12:39,b07,111,111,*,0,0.105668,0,50,2000,100,0,1,1,50,1,1,2,0,111
,2019-12-03,03:12:39,b08,104,104,*,0,0.173568,0,50,2000,100,0,1,1,50,1,1,2,0,104
,2019-12-03,03:12:39,b09,220,220,*,0,0.382851,0,50,2000,100,0,1,1,50,1,1,2,0,224
,2019-12-03,03:12:39,b10,86,86,*,4,4.02466,0,50,2000,100,0,1,1,50,1,1,2,0,98
,2019-12-03,03:12:43,b11,88,88,*,1,0.413258,0,50,2000,100,0,1,1,50,1,1,2,0,93
,2019-12-03,03:12:44,b12,174,174,*,0,0.393885,0,50,2000,100,0,1,1,50,1,1,2,0,174
,2019-12-03,03:12:44,b13,165,165,*,4,3.74416,0,50,2000,100,0,1,1,50,1,1,2,0,175
,2019-12-03,03:12:48,b14,235,235,*,3,2.43937,5,50,2000,100,0,1,1,50,1,1,2,0,236
,2019-12-03,03:12:51,b15,318,318,*,3,2.94717,0,50,2000,100,0,1,1,50,1,1,2,0,322
,2019-12-03,03:12:54,b16,127,127,*,85,85.2905,4,50,2000,100,0,1,1,50,1,1,2,0,130
,2019-12-03,03:14:19,b17,131,131,*,6,5.1581,0,50,2000,100,0,1,1,50,1,1,2,0,133
,2019-12-03,03:14:25,b18,218,218,*,0,0.673157,0,50,2000,100,0,1,1,50,1,1,2,0,226

###### TESTSET: C ######

,2019-12-03,03:14:26,c01,85,85,*,11,11.5832,0,50,2000,100,0,1,1,50,1,1,2,0,88
,2019-12-03,03:14:38,c02,144,144,*,50,49.9191,0,50,2000,100,0,1,1,50,1,1,2,0,144
 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 03:16:38 AEDT 2019
 ************************************************ 

###### TESTSET: E ######

 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 03:17:26 AEDT 2019
 ************************************************ 

###### TESTSET: D ######

,2019-12-03,03:17:29,d11,29,29,*,31,30.1014,0,50,2000,100,0,1,1,50,1,1,2,0,32
 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 03:18:53 AEDT 2019
 ************************************************ 

###### TESTSET: D ######

,2019-12-03,03:18:56,d17,23,23,*,53,52.8925,0,50,2000,100,0,1,1,50,1,1,2,0,25
 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 03:29:54 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-03,03:29:54,b01,82,82,*,0,0.179193,0,10,2000,100,4,1,1,100,1,1,2,0,82
,2019-12-03,03:29:54,b02,83,83,*,0,0.229888,0,10,2000,100,4,1,1,100,1,1,2,0,90
,2019-12-03,03:29:54,b03,138,138,*,0,0.15944,0,10,2000,100,4,1,1,100,1,1,2,0,140
,2019-12-03,03:29:54,b04,59,59,*,1,0.95561,0,10,2000,100,4,1,1,100,1,1,2,0,59
,2019-12-03,03:29:55,b05,61,61,*,1,0.948842,0,10,2000,100,4,1,1,100,1,1,2,0,64
,2019-12-03,03:29:56,b06,122,122,*,1,0.9032,0,10,2000,100,4,1,1,100,1,1,2,0,127
,2019-12-03,03:29:57,b07,111,111,*,0,0.104764,0,10,2000,100,4,1,1,100,1,1,2,0,111
,2019-12-03,03:29:57,b08,104,104,*,0,0.199902,0,10,2000,100,4,1,1,100,1,1,2,0,104
,2019-12-03,03:29:57,b09,220,220,*,1,0.309087,0,10,2000,100,4,1,1,100,1,1,2,0,224
,2019-12-03,03:29:58,b10,86,86,*,1,0.994496,0,10,2000,100,4,1,1,100,1,1,2,0,98
,2019-12-03,03:29:59,b11,88,88,*,1,0.920554,0,10,2000,100,4,1,1,100,1,1,2,0,93
,2019-12-03,03:30:00,b12,174,174,*,0,0.436075,0,10,2000,100,4,1,1,100,1,1,2,0,174
,2019-12-03,03:30:00,b13,165,165,*,2,1.43631,1,10,2000,100,4,1,1,100,1,1,2,0,169
,2019-12-03,03:30:02,b14,235,235,*,0,0.430265,0,10,2000,100,4,1,1,100,1,1,2,0,237
,2019-12-03,03:30:02,b15,318,318,*,1,1.06608,0,10,2000,100,4,1,1,100,1,1,2,0,322
,2019-12-03,03:30:03,b16,127,127,*,27,26.1667,0,10,2000,100,4,1,1,100,1,1,2,0,137
,2019-12-03,03:30:30,b17,131,131,*,1,1.6107,0,10,2000,100,4,1,1,100,1,1,2,0,133
