Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))
 
 **************** STARTING RUN 1 **************** 
          Thu  5 Dec 01:55:29 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-05,01:55:29,b01,82,82,*,1,1.08717,0,20,1000,500,8,1,1,20,1,1,5,0,82
,2019-12-05,01:55:30,b02,83,83,*,0,0.061945,0,20,1000,500,8,1,1,20,1,1,5,0,90
,2019-12-05,01:55:30,b03,138,138,*,0,0.176086,0,20,1000,500,8,1,1,20,1,1,5,0,140
,2019-12-05,01:55:30,b04,59,59,*,2,2.21218,0,20,1000,500,8,1,1,20,1,1,5,0,59
,2019-12-05,01:55:32,b05,61,61,*,9,8.12019,0,20,1000,500,8,1,1,20,1,1,5,0,64
,2019-12-05,01:55:41,b06,122,122,*,0,0.883734,0,20,1000,500,8,1,1,20,1,1,5,0,127
,2019-12-05,01:55:41,b07,111,111,*,1,0.124947,0,20,1000,500,8,1,1,20,1,1,5,0,111
,2019-12-05,01:55:42,b08,104,104,*,0,0.133398,0,20,1000,500,8,1,1,20,1,1,5,0,104
,2019-12-05,01:55:42,b09,220,220,*,0,0.468452,0,20,1000,500,8,1,1,20,1,1,5,0,224
,2019-12-05,01:55:42,b10,86,86,*,20,19.907,0,20,1000,500,8,1,1,20,1,1,5,0,98
,2019-12-05,01:56:02,b11,88,88,*,3,3.18172,0,20,1000,500,8,1,1,20,1,1,5,0,93
,2019-12-05,01:56:05,b12,174,174,*,2,1.94932,0,20,1000,500,8,1,1,20,1,1,5,0,174
,2019-12-05,01:56:07,b13,165,165,*,4,3.41356,0,20,1000,500,8,1,1,20,1,1,5,0,175
,2019-12-05,01:56:11,b14,235,235,*,6,6.2154,2,20,1000,500,8,1,1,20,1,1,5,0,236
,2019-12-05,01:56:17,b15,318,318,*,7,6.93085,0,20,1000,500,8,1,1,20,1,1,5,0,322
,2019-12-05,01:56:24,b16,127,127,*,159,157.572,8,20,1000,500,8,1,1,20,1,1,5,0,130
,2019-12-05,01:59:03,b17,131,131,*,20,19.8921,0,20,1000,500,8,1,1,20,1,1,5,0,133
,2019-12-05,01:59:23,b18,218,218,*,6,6.20906,0,20,1000,500,8,1,1,20,1,1,5,0,226

 
 **************** STARTING RUN 1 **************** 
          Thu  5 Dec 02:00:31 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-05,02:00:31,b01,82,82,*,1,1.11797,0,10,1000,500,8,1,1,50,1,1,5,0,82
,2019-12-05,02:00:32,b02,83,83,*,0,0.040095,0,10,1000,500,8,1,1,50,1,1,5,0,90
,2019-12-05,02:00:32,b03,138,138,*,0,0.263216,0,10,1000,500,8,1,1,50,1,1,5,0,140
,2019-12-05,02:00:32,b04,59,59,*,3,2.59308,0,10,1000,500,8,1,1,50,1,1,5,0,59
,2019-12-05,02:00:35,b05,61,61,*,5,4.97604,0,10,1000,500,8,1,1,50,1,1,5,0,64
,2019-12-05,02:00:40,b06,122,122,*,0,0.078562,0,10,1000,500,8,1,1,50,1,1,5,0,127
,2019-12-05,02:00:40,b07,111,111,*,0,0.014454,0,10,1000,500,8,1,1,50,1,1,5,0,111
,2019-12-05,02:00:40,b08,104,104,*,0,0.209091,0,10,1000,500,8,1,1,50,1,1,5,0,104
,2019-12-05,02:00:40,b09,220,220,*,0,0.276643,0,10,1000,500,8,1,1,50,1,1,5,0,224
,2019-12-05,02:00:40,b10,86,86,*,50,49.7214,0,10,1000,500,8,1,1,50,1,1,5,0,98
,2019-12-05,02:01:30,b11,88,88,*,2,1.63277,0,10,1000,500,8,1,1,50,1,1,5,0,93
,2019-12-05,02:01:32,b12,174,174,*,7,7.00817,0,10,1000,500,8,1,1,50,1,1,5,0,174
,2019-12-05,02:01:39,b13,165,165,*,1,0.723787,0,10,1000,500,8,1,1,50,1,1,5,0,175
,2019-12-05,02:01:40,b14,235,235,*,6,6.2154,2,10,1000,500,8,1,1,50,1,1,5,0,236
,2019-12-05,02:01:42,b15,318,318,*,30,28.9206,0,10,1000,500,8,1,1,50,1,1,5,0,322
,2019-12-05,02:02:12,b16,127,127,*,50,49.664,0,10,1000,500,8,1,1,50,1,1,5,0,137
,2019-12-05,02:03:02,b17,131,131,*,46,45.4503,0,10,1000,500,8,1,1,50,1,1,5,0,133
,2019-12-05,02:03:48,b18,218,218,*,1,1.07168,0,10,1000,500,8,1,1,50,1,1,5,0,226

###### TESTSET: C ######

,2019-12-05,02:03:49,c01,85,85,*,50,49.5378,0,10,1000,500,8,1,1,50,1,1,5,0,88
,2019-12-05,02:04:39,c02,144,144,*,50,49.7781,0,10,1000,500,8,1,1,50,1,1,5,0,144
,2019-12-05,02:05:30,c03,754,754,*,101,99.9117,1,10,1000,500,8,1,1,50,1,1,5,0,756
,2019-12-05,02:07:11,c04,1081,1079,,507,502.871,10,10,1000,500,8,1,1,50,1,1,5,0,1082
,2019-12-05,02:15:39,c05,1579,1579,*,101,98.8978,1,10,1000,500,8,1,1,50,1,1,5,0,1582
,2019-12-05,02:17:20,c06,55,55,*,4,4.05269,0,10,1000,500,8,1,1,50,1,1,5,0,60
