Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))
 
******* GRASP ALGORITHM *******
 
 **************** STARTING RUN 1 **************** 
          Wed  4 Dec 22:32:59 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-04,22:32:59,b01,82,82,*,0,0.000771,0,1,500,0,0,1,0,0,1,1,5,0,127
,2019-12-04,22:32:59,b02,83,83,*,0,0.00063,0,1,500,0,0,1,0,0,1,1,5,0,120
,2019-12-04,22:32:59,b03,138,138,*,0,0.001898,0,1,500,0,0,1,0,0,1,1,5,0,157
,2019-12-04,22:32:59,b04,59,59,*,0,0.008518,0,1,500,0,0,1,0,0,1,1,5,0,111
,2019-12-04,22:32:59,b05,61,61,*,0,0,0,1,500,0,0,1,0,0,1,1,5,0,127
,2019-12-04,22:32:59,b06,125,122,,0,0.041346,1,1,500,0,0,1,0,0,1,1,5,0,139
,2019-12-04,22:32:59,b07,111,111,*,0,0.002897,0,1,500,0,0,1,0,0,1,1,5,0,167
,2019-12-04,22:32:59,b08,104,104,*,0,0.000919,0,1,500,0,0,1,0,0,1,1,5,0,108
,2019-12-04,22:32:59,b09,220,220,*,0,0.005601,0,1,500,0,0,1,0,0,1,1,5,0,296
,2019-12-04,22:32:59,b10,86,86,*,0,0.001377,0,1,500,0,0,1,0,0,1,1,5,0,175
,2019-12-04,22:32:59,b11,90,88,,0,0.03557,1,1,500,0,0,1,0,0,1,1,5,0,144
,2019-12-04,22:32:59,b12,174,174,*,0,0.008547,0,1,500,0,0,1,0,0,1,1,5,0,292
,2019-12-04,22:32:59,b13,165,165,*,0,0.00095,0,1,500,0,0,1,0,0,1,1,5,0,191
,2019-12-04,22:32:59,b14,241,235,,0,0.050887,1,1,500,0,0,1,0,0,1,1,5,0,268
,2019-12-04,22:32:59,b15,321,318,,0,0.073824,1,1,500,0,0,1,0,0,1,1,5,0,354
,2019-12-04,22:32:59,b16,127,127,*,0,0.016638,0,1,500,0,0,1,0,0,1,1,5,0,191
,2019-12-04,22:32:59,b17,133,131,,0,0.053273,1,1,500,0,0,1,0,0,1,1,5,0,316
,2019-12-04,22:32:59,b18,220,218,,0,0.07429,1,1,500,0,0,1,0,0,1,1,5,0,277

###### TESTSET: C ######

,2019-12-04,22:33:00,c01,85,85,*,0,0.003265,0,1,500,0,0,1,0,0,1,1,5,0,333
,2019-12-04,22:33:00,c02,144,144,*,0,0.003261,0,1,500,0,0,1,0,0,1,1,5,0,542
,2019-12-04,22:33:01,c03,762,754,,0,0.245898,1,1,500,0,0,1,0,0,1,1,5,0,978
,2019-12-04,22:33:01,c04,1091,1079,,1,0.351249,1,1,500,0,0,1,0,0,1,1,5,0,1237
,2019-12-04,22:33:02,c05,1592,1579,,1,0.611831,1,1,500,0,0,1,0,0,1,1,5,0,1635
,2019-12-04,22:33:03,c06,62,55,,0,0.027318,1,1,500,0,0,1,0,0,1,1,5,0,288
,2019-12-04,22:33:03,c07,102,102,*,0,0.0102,0,1,500,0,0,1,0,0,1,1,5,0,475
,2019-12-04,22:33:04,c08,528,509,,0,0.298486,1,1,500,0,0,1,0,0,1,1,5,0,809
,2019-12-04,22:33:04,c09,726,707,,1,0.379308,1,1,500,0,0,1,0,0,1,1,5,0,1062
,2019-12-04,22:33:05,c10,1120,1093,,1,0.606038,1,1,500,0,0,1,0,0,1,1,5,0,1395
,2019-12-04,22:33:06,c11,33,32,,0,0.029071,1,1,500,0,0,1,0,0,1,1,5,0,199
,2019-12-04,22:33:06,c12,46,46,*,1,0.009506,0,1,500,0,0,1,0,0,1,1,5,0,345
,2019-12-04,22:33:07,c13,271,258,,0,0.305577,1,1,500,0,0,1,0,0,1,1,5,0,1185
