Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))
 
**** JUST HEURISTIC SEARCH W/ PRE-PROCESSING ****
******* (WORST STARTING SOLUTION - 50SEC) *******
 
 **************** STARTING RUN 1 **************** 
          Wed  4 Dec 16:34:05 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-04,16:34:05,b01,82,82,*,1,1.2508,0,1,1,1,1,1,1,50,0,1,0,0,111
,2019-12-04,16:34:06,b02,83,83,*,0,0.085571,0,1,1,1,1,1,1,50,0,1,0,0,138
,2019-12-04,16:34:06,b03,138,138,*,1,0.422635,0,1,1,1,1,1,1,50,0,1,0,0,172
,2019-12-04,16:34:07,b04,59,59,*,22,22.2713,0,1,1,1,1,1,1,50,0,1,0,0,157
,2019-12-04,16:34:30,b05,61,61,*,8,8.60022,0,1,1,1,1,1,1,50,0,1,0,0,127
,2019-12-04,16:34:38,b06,122,122,*,3,2.47557,0,1,1,1,1,1,1,50,0,1,0,0,161
,2019-12-04,16:34:41,b07,111,111,*,0,0.147678,0,1,1,1,1,1,1,50,0,1,0,0,163
,2019-12-04,16:34:41,b08,104,104,*,1,0.850163,0,1,1,1,1,1,1,50,0,1,0,0,181
,2019-12-04,16:34:42,b09,220,220,*,2,2.10469,0,1,1,1,1,1,1,50,0,1,0,0,259
,2019-12-04,16:34:44,b10,86,86,*,45,43.6841,0,1,1,1,1,1,1,50,0,1,0,0,216
,2019-12-04,16:35:29,b11,88,88,*,7,7.23217,0,1,1,1,1,1,1,50,0,1,0,0,208
,2019-12-04,16:35:36,b12,174,174,*,43,41.44,0,1,1,1,1,1,1,50,0,1,0,0,253
,2019-12-04,16:36:19,b13,165,165,*,8,7.49646,0,1,1,1,1,1,1,50,0,1,0,0,239
,2019-12-04,16:36:27,b14,235,235,*,35,34.4209,0,1,1,1,1,1,1,50,0,1,0,0,274
,2019-12-04,16:37:02,b15,318,318,*,18,17.0222,0,1,1,1,1,1,1,50,0,1,0,0,356
,2019-12-04,16:37:20,b16,280,127,,50,48.6662,1,1,1,1,1,1,1,50,0,1,0,0,280
,2019-12-04,16:38:10,b17,131,131,*,18,17.4244,0,1,1,1,1,1,1,50,0,1,0,0,251
,2019-12-04,16:38:28,b18,218,218,*,22,21.8268,0,1,1,1,1,1,1,50,0,1,0,0,304

###### TESTSET: C ######

,2019-12-04,16:38:50,c01,171,85,,50,49.3355,1,1,1,1,1,1,1,50,0,1,0,0,703
,2019-12-04,16:39:41,c02,174,144,,50,48.7957,1,1,1,1,1,1,1,50,0,1,0,0,729
,2019-12-04,16:40:31,c03,1212,754,,50,48.6208,1,1,1,1,1,1,1,50,0,1,0,0,1212
