Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))
 
 
 **************** STARTING RUN 1 **************** 
          Wed  4 Dec 00:29:12 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-04,00:29:12,b01,82,82,*,0,0.074427,0,5,2000,500,4,1,1,20,1,1,2,0,82
,2019-12-04,00:29:12,b02,83,83,*,0,0.093457,0,5,2000,500,4,1,1,20,1,1,2,0,90
,2019-12-04,00:29:12,b03,138,138,*,1,0.1414,0,5,2000,500,4,1,1,20,1,1,2,0,140
,2019-12-04,00:29:13,b04,59,59,*,0,0.085041,0,5,2000,500,4,1,1,20,1,1,2,0,59
,2019-12-04,00:29:13,b05,61,61,*,0,0.103183,0,5,2000,500,4,1,1,20,1,1,2,0,64
,2019-12-04,00:29:13,b06,122,122,*,1,0.824551,0,5,2000,500,4,1,1,20,1,1,2,0,127
,2019-12-04,00:29:14,b07,111,111,*,0,0.099747,0,5,2000,500,4,1,1,20,1,1,2,0,111
,2019-12-04,00:29:14,b08,104,104,*,0,0.11871,0,5,2000,500,4,1,1,20,1,1,2,0,104
,2019-12-04,00:29:14,b09,220,220,*,0,0.202488,0,5,2000,500,4,1,1,20,1,1,2,0,224
,2019-12-04,00:29:14,b10,86,86,*,0,0.107968,0,5,2000,500,4,1,1,20,1,1,2,0,98
,2019-12-04,00:29:14,b11,88,88,*,0,0.116804,0,5,2000,500,4,1,1,20,1,1,2,0,93
,2019-12-04,00:29:14,b12,174,174,*,1,0.187311,0,5,2000,500,4,1,1,20,1,1,2,0,174
,2019-12-04,00:29:15,b13,165,165,*,0,0.131263,0,5,2000,500,4,1,1,20,1,1,2,0,175
,2019-12-04,00:29:15,b14,235,235,*,1,0.817863,1,5,2000,500,4,1,1,20,1,1,2,0,236
,2019-12-04,00:29:16,b15,318,318,*,0,0.265292,0,5,2000,500,4,1,1,20,1,1,2,0,322
,2019-12-04,00:29:16,b16,127,127,*,0,0.147178,0,5,2000,500,4,1,1,20,1,1,2,0,137
,2019-12-04,00:29:16,b17,131,131,*,0,0.179517,0,5,2000,500,4,1,1,20,1,1,2,0,133
,2019-12-04,00:29:16,b18,218,218,*,1,0.282176,0,5,2000,500,4,1,1,20,1,1,2,0,226

###### TESTSET: C ######

,2019-12-04,00:29:17,c01,85,85,*,0,0.088035,0,5,2000,500,4,1,1,20,1,1,2,0,88
,2019-12-04,00:29:17,c02,144,144,*,1,0.12842,0,5,2000,500,4,1,1,20,1,1,2,0,144
,2019-12-04,00:29:18,c03,754,754,*,22,21.2473,1,5,2000,500,4,1,1,20,1,1,2,0,755
,2019-12-04,00:29:40,c04,1082,1079,,108,104.872,5,5,2000,500,4,1,1,20,1,1,2,0,1082
,2019-12-04,00:31:28,c05,1579,1579,*,25,23.8379,1,5,2000,500,4,1,1,20,1,1,2,0,1580
,2019-12-04,00:31:53,c06,55,55,*,0,0.099407,0,5,2000,500,4,1,1,20,1,1,2,0,60
