Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Arbitrary split?,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))

******** NO MIP NOT PRE-PROCESSED RANDOM START ********
 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 01:15:03 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-03,01:15:03,b01,82,82,*,1,0.086962,0,10,2000,0,0,0,0,0,1,1,2,0,97
,2019-12-03,01:15:04,b02,83,83,*,0,0.100846,0,10,2000,0,0,0,0,0,1,1,2,0,96
,2019-12-03,01:15:04,b03,138,138,*,0,0.139569,0,10,2000,0,0,0,0,0,1,1,2,0,148
,2019-12-03,01:15:04,b04,59,59,*,0,0.081691,0,10,2000,0,0,0,0,0,1,1,2,0,157
,2019-12-03,01:15:04,b05,61,61,*,0,0.096575,0,10,2000,0,0,0,0,0,1,1,2,0,123
,2019-12-03,01:15:04,b06,122,122,*,1,0.928417,5,10,2000,0,0,0,0,0,1,1,2,0,125
,2019-12-03,01:15:05,b07,111,111,*,0,0.110845,0,10,2000,0,0,0,0,0,1,1,2,0,176
,2019-12-03,01:15:05,b08,104,104,*,0,0.129803,0,10,2000,0,0,0,0,0,1,1,2,0,155
,2019-12-03,01:15:05,b09,220,220,*,0,0.214452,0,10,2000,0,0,0,0,0,1,1,2,0,268
,2019-12-03,01:15:05,b10,86,86,*,1,0.114258,0,10,2000,0,0,0,0,0,1,1,2,0,136
,2019-12-03,01:15:06,b11,90,88,,1,1.24606,10,10,2000,0,0,0,0,0,1,1,2,0,90
,2019-12-03,01:15:07,b12,175,174,,2,2.44588,10,10,2000,0,0,0,0,0,1,1,2,0,175
,2019-12-03,01:15:09,b13,169,165,,2,1.36138,10,10,2000,0,0,0,0,0,1,1,2,0,169
,2019-12-03,01:15:11,b14,240,235,,2,2.11309,10,10,2000,0,0,0,0,0,1,1,2,0,240
,2019-12-03,01:15:13,b15,320,318,,3,3.11597,10,10,2000,0,0,0,0,0,1,1,2,0,320
,2019-12-03,01:15:16,b16,130,127,,2,1.74639,10,10,2000,0,0,0,0,0,1,1,2,0,130
,2019-12-03,01:15:18,b17,131,131,*,0,0.21551,0,10,2000,0,0,0,0,0,1,1,2,0,215
,2019-12-03,01:15:18,b18,218,218,*,0,0.286691,0,10,2000,0,0,0,0,0,1,1,2,0,385

###### TESTSET: C ######

,2019-12-03,01:15:19,c01,85,85,*,0,0.13736,0,10,2000,0,0,0,0,0,1,1,2,0,336
,2019-12-03,01:15:19,c02,144,144,*,0,0.204906,0,10,2000,0,0,0,0,0,1,1,2,0,461
,2019-12-03,01:15:19,c03,761,754,,12,11.5358,10,10,2000,0,0,0,0,0,1,1,2,0,761
,2019-12-03,01:15:31,c04,1079,1079,*,16,16.103,8,10,2000,0,0,0,0,0,1,1,2,0,1083
 
 **************** STARTING RUN 1 **************** 
          Tue  3 Dec 01:16:38 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-03,01:16:38,b01,82,82,*,1,0.085601,0,10,2000,0,0,0,0,0,1,1,2,0,109
,2019-12-03,01:16:39,b02,83,83,*,0,0.093104,0,10,2000,0,0,0,0,0,1,1,2,0,134
,2019-12-03,01:16:39,b03,138,138,*,0,0.133674,0,10,2000,0,0,0,0,0,1,1,2,0,175
,2019-12-03,01:16:39,b04,59,59,*,0,0.085038,0,10,2000,0,0,0,0,0,1,1,2,0,121
,2019-12-03,01:16:39,b05,61,61,*,0,0.097292,0,10,2000,0,0,0,0,0,1,1,2,0,126
,2019-12-03,01:16:39,b06,122,122,*,0,0.165809,0,10,2000,0,0,0,0,0,1,1,2,0,163
,2019-12-03,01:16:39,b07,111,111,*,0,0.105151,0,10,2000,0,0,0,0,0,1,1,2,0,184
,2019-12-03,01:16:39,b08,104,104,*,0,0.126459,0,10,2000,0,0,0,0,0,1,1,2,0,140
,2019-12-03,01:16:39,b09,220,220,*,1,0.205156,0,10,2000,0,0,0,0,0,1,1,2,0,249
,2019-12-03,01:16:40,b10,86,86,*,0,0.122608,0,10,2000,0,0,0,0,0,1,1,2,0,217
,2019-12-03,01:16:40,b11,90,88,,1,1.19182,10,10,2000,0,0,0,0,0,1,1,2,0,90
,2019-12-03,01:16:41,b12,175,174,,2,2.17684,10,10,2000,0,0,0,0,0,1,1,2,0,175
,2019-12-03,01:16:43,b13,170,165,,2,1.58808,10,10,2000,0,0,0,0,0,1,1,2,0,170
,2019-12-03,01:16:45,b14,238,235,,2,2.15121,10,10,2000,0,0,0,0,0,1,1,2,0,238
,2019-12-03,01:16:47,b15,324,318,,3,2.95772,10,10,2000,0,0,0,0,0,1,1,2,0,324
,2019-12-03,01:16:50,b16,127,127,*,0,0.143754,0,10,2000,0,0,0,0,0,1,1,2,0,241
,2019-12-03,01:16:50,b17,131,131,*,0,0.208113,0,10,2000,0,0,0,0,0,1,1,2,0,211
,2019-12-03,01:16:50,b18,218,218,*,1,0.294306,0,10,2000,0,0,0,0,0,1,1,2,0,274

###### TESTSET: C ######

,2019-12-03,01:16:51,c01,85,85,*,0,0.139874,0,10,2000,0,0,0,0,0,1,1,2,0,268
,2019-12-03,01:16:51,c02,144,144,*,0,0.205987,0,10,2000,0,0,0,0,0,1,1,2,0,338
,2019-12-03,01:16:51,c03,759,754,,12,11.1918,10,10,2000,0,0,0,0,0,1,1,2,0,759
,2019-12-03,01:17:03,c04,1088,1079,,15,15.3248,10,10,2000,0,0,0,0,0,1,1,2,0,1088
,2019-12-03,01:17:18,c05,1580,1579,,23,22.6792,10,10,2000,0,0,0,0,0,1,1,2,0,1580
,2019-12-03,01:17:41,c06,62,55,,2,1.19094,10,10,2000,0,0,0,0,0,1,1,2,0,62
,2019-12-03,01:17:43,c07,102,102,*,0,0.181962,0,10,2000,0,0,0,0,0,1,1,2,0,511
,2019-12-03,01:17:43,c08,511,509,,12,11.6536,10,10,2000,0,0,0,0,0,1,1,2,0,511
,2019-12-03,01:17:55,c09,720,707,,14,14.3465,10,10,2000,0,0,0,0,0,1,1,2,0,720
,2019-12-03,01:18:10,c10,1097,1093,,23,23.4888,10,10,2000,0,0,0,0,0,1,1,2,0,1097
,2019-12-03,01:18:33,c11,33,32,,2,1.32584,10,10,2000,0,0,0,0,0,1,1,2,0,33
,2019-12-03,01:18:35,c12,46,46,*,0,0.203847,0,10,2000,0,0,0,0,0,1,1,2,0,503
,2019-12-03,01:18:35,c13,265,258,,12,11.2488,10,10,2000,0,0,0,0,0,1,1,2,0,265
,2019-12-03,01:18:47,c14,327,323,,16,16.1493,10,10,2000,0,0,0,0,0,1,1,2,0,327
,2019-12-03,01:19:03,c15,560,556,,27,26.8032,10,10,2000,0,0,0,0,0,1,1,2,0,560
,2019-12-03,01:19:31,c16,13,11,,1,1.74108,10,10,2000,0,0,0,0,0,1,1,2,0,13
,2019-12-03,01:19:33,c17,20,18,,2,2.41769,10,10,2000,0,0,0,0,0,1,1,2,0,20
,2019-12-03,01:19:35,c18,122,113,,12,11.7162,10,10,2000,0,0,0,0,0,1,1,2,0,122
,2019-12-03,01:19:47,c19,159,146,,16,15.3281,10,10,2000,0,0,0,0,0,1,1,2,0,159
,2019-12-03,01:20:03,c20,278,267,,25,24.5784,10,10,2000,0,0,0,0,0,1,1,2,0,278

###### TESTSET: D ######

,2019-12-03,01:20:28,d01,106,106,*,1,0.194836,0,10,2000,0,0,0,0,0,1,1,2,0,448
,2019-12-03,01:20:29,d02,220,220,*,1,0.395766,0,10,2000,0,0,0,0,0,1,1,2,0,652
,2019-12-03,01:20:31,d03,1576,1565,,30,30.0086,10,10,2000,0,0,0,0,0,1,1,2,0,1576
,2019-12-03,01:21:02,d04,1946,1935,,40,39.6472,10,10,2000,0,0,0,0,0,1,1,2,0,1946
,2019-12-03,01:21:43,d05,3257,3250,,69,68.0425,10,10,2000,0,0,0,0,0,1,1,2,0,3257
,2019-12-03,01:22:53,d06,71,67,,1,1.77083,10,10,2000,0,0,0,0,0,1,1,2,0,71
,2019-12-03,01:22:55,d07,103,103,*,1,0.678913,2,10,2000,0,0,0,0,0,1,1,2,0,110
,2019-12-03,01:22:57,d08,1073,1072,,27,27.1713,10,10,2000,0,0,0,0,0,1,1,2,0,1073
,2019-12-03,01:23:25,d09,1456,1448,,42,41.4461,10,10,2000,0,0,0,0,0,1,1,2,0,1456
,2019-12-03,01:24:08,d10,2115,2110,,67,66.4468,10,10,2000,0,0,0,0,0,1,1,2,0,2115
,2019-12-03,01:25:16,d11,30,29,,2,1.76084,10,10,2000,0,0,0,0,0,1,1,2,0,30
,2019-12-03,01:25:19,d12,42,42,*,0,0.263027,0,10,2000,0,0,0,0,0,1,1,2,0,694
,2019-12-03,01:25:20,d13,514,500,,28,27.8406,10,10,2000,0,0,0,0,0,1,1,2,0,514
,2019-12-03,01:25:49,d14,673,667,,39,38.5084,10,10,2000,0,0,0,0,0,1,1,2,0,673
,2019-12-03,01:26:29,d15,1126,1116,,70,69.3565,10,10,2000,0,0,0,0,0,1,1,2,0,1126
,2019-12-03,01:27:40,d16,15,13,,3,2.707,10,10,2000,0,0,0,0,0,1,1,2,0,15
,2019-12-03,01:27:44,d17,24,23,,4,3.7605,10,10,2000,0,0,0,0,0,1,1,2,0,24
,2019-12-03,01:27:49,d18,245,223,,26,26.3732,10,10,2000,0,0,0,0,0,1,1,2,0,245
,2019-12-03,01:28:16,d19,336,310,,37,36.8761,10,10,2000,0,0,0,0,0,1,1,2,0,336
,2019-12-03,01:28:54,d20,574,537,,70,68.7263,10,10,2000,0,0,0,0,0,1,1,2,0,575

###### TESTSET: E ######

,2019-12-03,01:30:17,e01,111,111,*,0,0.323976,0,10,2000,0,0,0,0,0,1,1,2,0,993
,2019-12-03,01:30:30,e02,214,214,*,1,0.594337,0,10,2000,0,0,0,0,0,1,1,2,0,1373
,2019-12-03,01:30:44,e03,4059,4013,,170,163.949,10,10,2000,0,0,0,0,0,1,1,2,0,4063
,2019-12-03,01:33:48,e04,5128,5101,,201,195.269,10,10,2000,0,0,0,0,0,1,1,2,0,5128
,2019-12-03,01:37:22,e05,8141,8128,,410,390.331,10,10,2000,0,0,0,0,0,1,1,2,0,8142
,2019-12-03,01:44:25,e06,73,73,*,1,0.340338,0,10,2000,0,0,0,0,0,1,1,2,0,1033
,2019-12-03,01:44:39,e07,145,145,*,3,2.85885,4,10,2000,0,0,0,0,0,1,1,2,0,149
,2019-12-03,01:44:55,e08,2682,2640,,140,135.608,10,10,2000,0,0,0,0,0,1,1,2,0,2682
,2019-12-03,01:47:28,e09,3646,3604,,192,185.887,10,10,2000,0,0,0,0,0,1,1,2,0,3653
,2019-12-03,01:50:52,e10,5636,5600,,418,405.096,10,10,2000,0,0,0,0,0,1,1,2,0,5636
,2019-12-03,01:58:04,e11,34,34,*,2,0.386971,0,10,2000,0,0,0,0,0,1,1,2,0,1363
,2019-12-03,01:58:20,e12,75,67,,6,5.67697,10,10,2000,0,0,0,0,0,1,1,2,0,75
,2019-12-03,01:58:41,e13,1319,1280,,136,131.912,10,10,2000,0,0,0,0,0,1,1,2,0,1319
,2019-12-03,02:01:11,e14,1755,1732,,200,193.144,10,10,2000,0,0,0,0,0,1,1,2,0,1756
,2019-12-03,02:04:45,e15,2797,2784,,395,388.83,10,10,2000,0,0,0,0,0,1,1,2,0,2797
,2019-12-03,02:11:34,e16,16,15,,6,5.57581,10,10,2000,0,0,0,0,0,1,1,2,0,16
,2019-12-03,02:11:54,e17,27,25,,7,6.82475,10,10,2000,0,0,0,0,0,1,1,2,0,27
,2019-12-03,02:12:15,e18,628,564,,130,127.287,10,10,2000,0,0,0,0,0,1,1,2,0,628
,2019-12-03,02:14:39,e19,818,758,,185,180.903,10,10,2000,0,0,0,0,0,1,1,2,0,818
,2019-12-03,02:17:57,e20,1443,1342,,378,372.749,10,10,2000,0,0,0,0,0,1,1,2,0,1445
 
 **************** FINISHED RUN **************** 
          Tue  3 Dec 02:24:15 AEDT 2019
 ********************************************** 
 
