Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))

***** NO MIP GOOD *****
 
 **************** STARTING RUN 1 **************** 
          Thu  5 Dec 00:11:43 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-05,00:11:43,b01,82,82,*,0,0.000177,0,1,1000,0,0,1,0,0,1,1,5,0,82
,2019-12-05,00:11:43,b02,83,83,*,0,0.000609,0,1,1000,0,0,1,0,0,1,1,5,0,90
,2019-12-05,00:11:43,b03,138,138,*,0,0.001804,0,1,1000,0,0,1,0,0,1,1,5,0,140
,2019-12-05,00:11:43,b04,59,59,*,0,9e-05,0,1,1000,0,0,1,0,0,1,1,5,0,59
,2019-12-05,00:11:43,b05,61,61,*,0,0.000467,0,1,1000,0,0,1,0,0,1,1,5,0,64
,2019-12-05,00:11:43,b06,124,122,,0,0.069487,1,1,1000,0,0,1,0,0,1,1,5,0,127
,2019-12-05,00:11:43,b07,111,111,*,0,0.00025,0,1,1000,0,0,1,0,0,1,1,5,0,111
,2019-12-05,00:11:43,b08,104,104,*,0,0.000277,0,1,1000,0,0,1,0,0,1,1,5,0,104
,2019-12-05,00:11:43,b09,220,220,*,1,0.001882,0,1,1000,0,0,1,0,0,1,1,5,0,224
,2019-12-05,00:11:44,b10,86,86,*,0,0.001345,0,1,1000,0,0,1,0,0,1,1,5,0,98
,2019-12-05,00:11:44,b11,88,88,*,0,0.028964,0,1,1000,0,0,1,0,0,1,1,5,0,93
,2019-12-05,00:11:44,b12,174,174,*,0,0.000335,0,1,1000,0,0,1,0,0,1,1,5,0,174
,2019-12-05,00:11:44,b13,165,165,*,0,0.005905,0,1,1000,0,0,1,0,0,1,1,5,0,175
,2019-12-05,00:11:44,b14,236,235,,0,0.09551,1,1,1000,0,0,1,0,0,1,1,5,0,237
,2019-12-05,00:11:44,b15,318,318,*,0,0.013771,0,1,1000,0,0,1,0,0,1,1,5,0,322
,2019-12-05,00:11:44,b16,132,127,,0,0.085956,1,1,1000,0,0,1,0,0,1,1,5,0,137
,2019-12-05,00:11:44,b17,131,131,*,0,0.003172,0,1,1000,0,0,1,0,0,1,1,5,0,133
,2019-12-05,00:11:44,b18,218,218,*,0,0.021649,0,1,1000,0,0,1,0,0,1,1,5,0,226

###### TESTSET: C ######

,2019-12-05,00:11:44,c01,85,85,*,0,0.003742,0,1,1000,0,0,1,0,0,1,1,5,0,88
,2019-12-05,00:11:45,c02,144,144,*,0,0.000278,0,1,1000,0,0,1,0,0,1,1,5,0,144
,2019-12-05,00:11:45,c03,754,754,*,0,0.410152,0,1,1000,0,0,1,0,0,1,1,5,0,780
,2019-12-05,00:11:46,c04,1087,1079,,1,0.666669,1,1,1000,0,0,1,0,0,1,1,5,0,1115
,2019-12-05,00:11:47,c05,1581,1579,,1,1.09445,1,1,1000,0,0,1,0,0,1,1,5,0,1603
,2019-12-05,00:11:48,c06,55,55,*,0,0.00078,0,1,1000,0,0,1,0,0,1,1,5,0,60
,2019-12-05,00:11:49,c07,103,102,,0,0.074345,1,1,1000,0,0,1,0,0,1,1,5,0,115
,2019-12-05,00:11:49,c08,513,509,,1,0.520139,1,1,1000,0,0,1,0,0,1,1,5,0,528
,2019-12-05,00:11:50,c09,712,707,,1,0.685187,1,1,1000,0,0,1,0,0,1,1,5,0,728
,2019-12-05,00:11:51,c10,1095,1093,,1,1.12889,1,1,1000,0,0,1,0,0,1,1,5,0,1127
,2019-12-05,00:11:53,c11,33,32,,0,0.056553,1,1,1000,0,0,1,0,0,1,1,5,0,35
,2019-12-05,00:11:53,c12,46,46,*,0,0.015018,0,1,1000,0,0,1,0,0,1,1,5,0,49
,2019-12-05,00:11:53,c13,262,258,,1,0.528267,1,1,1000,0,0,1,0,0,1,1,5,0,276
,2019-12-05,00:11:54,c14,328,323,,1,0.656573,1,1,1000,0,0,1,0,0,1,1,5,0,337
,2019-12-05,00:11:55,c15,557,556,,1,1.12725,1,1,1000,0,0,1,0,0,1,1,5,0,567
,2019-12-05,00:11:57,c16,12,11,,0,0.051905,1,1,1000,0,0,1,0,0,1,1,5,0,12
,2019-12-05,00:11:57,c17,19,18,,0,0.084533,1,1,1000,0,0,1,0,0,1,1,5,0,20
,2019-12-05,00:11:58,c18,120,113,,0,0.385018,1,1,1000,0,0,1,0,0,1,1,5,0,128
,2019-12-05,00:11:58,c19,154,146,,1,0.518684,1,1,1000,0,0,1,0,0,1,1,5,0,160
,2019-12-05,00:11:59,c20,268,267,,1,0.868914,1,1,1000,0,0,1,0,0,1,1,5,0,268

###### TESTSET: D ######

,2019-12-05,00:12:03,d01,106,106,*,0,0.00075,0,1,1000,0,0,1,0,0,1,1,5,0,107
,2019-12-05,00:12:06,d02,220,220,*,0,0.004528,0,1,1000,0,0,1,0,0,1,1,5,0,237
,2019-12-05,00:12:08,d03,1575,1565,,1,1.13542,1,1,1000,0,0,1,0,0,1,1,5,0,1653
,2019-12-05,00:12:12,d04,1941,1935,,2,1.62762,1,1,1000,0,0,1,0,0,1,1,5,0,2008
,2019-12-05,00:12:17,d05,3253,3250,,3,3.15378,1,1,1000,0,0,1,0,0,1,1,5,0,3311
,2019-12-05,00:12:24,d06,70,67,,0,0.10671,1,1,1000,0,0,1,0,0,1,1,5,0,75
,2019-12-05,00:12:27,d07,103,103,*,0,0.003661,0,1,1000,0,0,1,0,0,1,1,5,0,105
,2019-12-05,00:12:30,d08,1094,1072,,1,1.2345,1,1,1000,0,0,1,0,0,1,1,5,0,1147
,2019-12-05,00:12:34,d09,1472,1448,,2,1.91933,1,1,1000,0,0,1,0,0,1,1,5,0,1543
