Run info,Date,Time,Instance,Best obj,Optimal obj,Found optimal,CPU time,Wall time,Stopped after,Total iterations,Population size,Splits,Split factor,Pre-processed?,Heuristic?,MIP solve time,Swaps,Initial jumps,Dead jumps,Jump frequency,AND(NOT($G2="*")NOT(ISBLANK($F2)))
 
 **************** STARTING RUN 1 **************** 
          Wed  4 Dec 21:40:47 AEDT 2019
 ************************************************ 

###### TESTSET: B ######

,2019-12-04,21:40:47,b01,82,82,*,0,0.000265,0,1,10000,0,0,1,0,0,1,1,2,0,82
,2019-12-04,21:40:47,b02,83,83,*,0,0.000144,0,1,10000,0,0,1,0,0,1,1,2,0,90
,2019-12-04,21:40:47,b03,138,138,*,0,0.002831,0,1,10000,0,0,1,0,0,1,1,2,0,140
,2019-12-04,21:40:47,b04,59,59,*,0,0.00024,0,1,10000,0,0,1,0,0,1,1,2,0,59
,2019-12-04,21:40:47,b05,61,61,*,0,0.002167,0,1,10000,0,0,1,0,0,1,1,2,0,64
,2019-12-04,21:40:47,b06,124,122,,0,0.703919,1,1,10000,0,0,1,0,0,1,1,2,0,127
,2019-12-04,21:40:47,b07,111,111,*,0,0.00031,0,1,10000,0,0,1,0,0,1,1,2,0,111
,2019-12-04,21:40:47,b08,104,104,*,0,0.000298,0,1,10000,0,0,1,0,0,1,1,2,0,104
,2019-12-04,21:40:47,b09,220,220,*,0,0.00371,0,1,10000,0,0,1,0,0,1,1,2,0,224
,2019-12-04,21:40:47,b10,86,86,*,0,0.000884,0,1,10000,0,0,1,0,0,1,1,2,0,98
,2019-12-04,21:40:47,b11,88,88,*,0,0.036876,0,1,10000,0,0,1,0,0,1,1,2,0,93
,2019-12-04,21:40:47,b12,174,174,*,0,0.000368,0,1,10000,0,0,1,0,0,1,1,2,0,174
,2019-12-04,21:40:47,b13,165,165,*,0,0.022205,0,1,10000,0,0,1,0,0,1,1,2,0,175
,2019-12-04,21:40:47,b14,236,235,,1,0.896926,1,1,10000,0,0,1,0,0,1,1,2,0,237
,2019-12-04,21:40:48,b15,318,318,*,0,0.000425,0,1,10000,0,0,1,0,0,1,1,2,0,322
,2019-12-04,21:40:48,b16,132,127,,1,0.859761,1,1,10000,0,0,1,0,0,1,1,2,0,137
,2019-12-04,21:40:49,b17,131,131,*,0,0.013187,0,1,10000,0,0,1,0,0,1,1,2,0,133
,2019-12-04,21:40:49,b18,218,218,*,0,0.008596,0,1,10000,0,0,1,0,0,1,1,2,0,226

###### TESTSET: C ######

,2019-12-04,21:40:50,c01,85,85,*,0,0.000322,0,1,10000,0,0,1,0,0,1,1,2,0,88
,2019-12-04,21:40:50,c02,144,144,*,0,0.000276,0,1,10000,0,0,1,0,0,1,1,2,0,144
,2019-12-04,21:40:50,c03,754,754,*,2,1.14152,0,1,10000,0,0,1,0,0,1,1,2,0,780
,2019-12-04,21:40:52,c04,1082,1079,,7,6.61019,1,1,10000,0,0,1,0,0,1,1,2,0,1115
,2019-12-04,21:40:59,c05,1580,1579,,11,10.7613,1,1,10000,0,0,1,0,0,1,1,2,0,1603
,2019-12-04,21:41:11,c06,55,55,*,0,0.000674,0,1,10000,0,0,1,0,0,1,1,2,0,60
,2019-12-04,21:41:11,c07,102,102,*,0,0.008672,0,1,10000,0,0,1,0,0,1,1,2,0,115
,2019-12-04,21:41:11,c08,513,509,,6,5.36918,1,1,10000,0,0,1,0,0,1,1,2,0,528
,2019-12-04,21:41:17,c09,709,707,,8,7.38831,1,1,10000,0,0,1,0,0,1,1,2,0,728
,2019-12-04,21:41:25,c10,1094,1093,,11,11.3494,1,1,10000,0,0,1,0,0,1,1,2,0,1127
,2019-12-04,21:41:37,c11,33,32,,0,0.582277,1,1,10000,0,0,1,0,0,1,1,2,0,35
,2019-12-04,21:41:38,c12,47,46,,1,1.05657,1,1,10000,0,0,1,0,0,1,1,2,0,49
,2019-12-04,21:41:39,c13,264,258,,6,4.96225,1,1,10000,0,0,1,0,0,1,1,2,0,276
,2019-12-04,21:41:45,c14,327,323,,7,6.85362,1,1,10000,0,0,1,0,0,1,1,2,0,337
,2019-12-04,21:41:52,c15,556,556,*,6,5.28425,0,1,10000,0,0,1,0,0,1,1,2,0,567
,2019-12-04,21:41:58,c16,12,11,,1,0.556655,1,1,10000,0,0,1,0,0,1,1,2,0,12
,2019-12-04,21:41:59,c17,19,18,,1,0.832159,1,1,10000,0,0,1,0,0,1,1,2,0,20
,2019-12-04,21:42:00,c18,119,113,,4,3.95769,1,1,10000,0,0,1,0,0,1,1,2,0,128
,2019-12-04,21:42:05,c19,153,146,,6,5.76729,1,1,10000,0,0,1,0,0,1,1,2,0,160
,2019-12-04,21:42:11,c20,268,267,,10,9.28636,1,1,10000,0,0,1,0,0,1,1,2,0,268

###### TESTSET: D ######

,2019-12-04,21:42:24,d01,106,106,*,0,0.002071,0,1,10000,0,0,1,0,0,1,1,2,0,107
,2019-12-04,21:42:27,d02,220,220,*,0,0.006169,0,1,10000,0,0,1,0,0,1,1,2,0,237
,2019-12-04,21:42:29,d03,1568,1565,,12,11.9846,1,1,10000,0,0,1,0,0,1,1,2,0,1653
,2019-12-04,21:42:45,d04,1935,1935,*,10,10.6201,0,1,10000,0,0,1,0,0,1,1,2,0,2008
,2019-12-04,21:42:59,d05,3252,3250,,34,33.4238,1,1,10000,0,0,1,0,0,1,1,2,0,3311
